Block_ID,Number of Records
1,772
2,304
3,1342
4,764
5,44
6,1823
7,121
8,32
9,891
10,83
11,2279
12,1473
13,4
14,604
15,385
16,353
17,3079
18,448
19,147
20,199
21,128
22,1852
23,2505
24,549
25,215
26,40
27,784
28,280
29,358
30,161
31,737
32,352
33,150
34,24
35,847
36,1464
37,355
38,198
39,359
40,100
41,46
42,339
43,198
44,292
45,1338
46,118
47,2327
48,114
49,97
50,210
51,883
52,319
53,874
54,267
55,144
56,296
57,366
58,455
59,150
60,1557
61,186
62,2426
63,345
64,804
65,1334
66,401
67,120
68,818
69,323
70,324
71,122
72,50
73,831
74,54
75,521
76,167
77,244
78,61
79,946
80,23
81,115
82,365
83,963
84,853
85,119
86,5
87,340
88,124
89,386
90,1486
91,314
92,91
93,891
94,361
95,501
96,775
97,193
98,692
99,1077
100,158
101,351
102,122
103,27
104,635
105,39
106,252
107,706
108,509
109,339
110,557
111,120
112,1168
113,379
114,267
115,63
116,72
117,377
118,333
119,132
120,147
121,56
122,61
123,27
124,86
125,70
126,118
127,25
128,92
129,17
130,469
131,266
132,168
133,102
134,468
135,221
136,637
137,48
138,124
139,95
140,300
141,91
142,33
143,108
144,135
145,1
146,106
147,186
148,785
149,95
150,165
151,345
152,374
153,36
154,48
155,268
156,293
157,10
158,88
159,92
160,20
161,251
162,291
163,48
164,86
165,295
166,74
167,52
168,53
169,124
170,120
171,79
172,62
173,137
174,37
175,320
176,99
177,46
178,93
179,19
180,258
181,536
182,19
183,16
184,71
185,207
186,83
187,212
188,34
189,81
190,77
191,13
192,57
193,29
194,179
195,7
196,33
197,212
198,50
199,22
200,100
201,34
202,26
203,27
204,156
205,37
206,51
207,87
208,247
209,122
210,5
211,113
212,30
213,12
214,50
215,7
216,13
217,25
218,17
219,9
220,55
221,153
222,12
223,29
224,17
225,45
226,39
227,43
228,47
229,42
230,154
231,127
232,21
233,38
234,84
235,47
236,28
237,81
238,89
239,56
240,193
241,39
242,3
243,58
244,55
245,50
246,19
247,13
248,134
249,14
250,5
251,26
252,99
253,33
254,51
255,88
256,14
257,25
258,4
259,2
260,40
261,23
262,21
263,15
264,67
265,46
266,10
267,50
268,32
269,18
270,46
271,69
272,35
273,22
274,17
275,82
276,36
277,25
278,6
279,7
280,10
281,32
282,3
283,21
284,23
285,23
286,33
287,17
288,16
289,29
290,69
291,39
292,35
293,15
294,13
295,19
296,6
297,17
298,16
299,15
300,9
301,28
302,3
303,32
304,18
305,2
306,24
307,4
308,35
309,13
310,1
311,12
312,85
313,25
314,1
315,6
316,11
317,13
318,11
319,14
320,29
321,24
322,2
323,20
324,3
325,10
326,12
327,2
328,1
329,16
330,5
331,13
332,5
333,42
334,6
335,1
336,10
337,21
338,20
339,18
340,9
341,7
342,9
343,9
344,8
345,2
346,15
347,8
348,3
349,3
350,7
351,4
352,3
353,1
354,18
355,12
356,51
357,1
358,28
359,6
360,38
361,22
362,14
363,19
364,30
365,14
366,4
367,5
368,10
369,6
370,5
371,4
372,6
373,16
374,10
375,4
376,20
377,4
378,7
379,32
380,2
381,16
382,5
383,7
384,1
385,1
386,2
387,19
388,1
389,4
390,17
391,7
392,11
393,47
394,14
395,57
396,9
397,3
398,2
399,2
400,7
401,24
402,3
403,14
404,1
405,11
406,9
407,8
408,6
409,11
410,6
411,12
412,14
413,5
414,11
415,2
416,6
417,1
418,28
419,2
420,23
421,9
422,15
423,2
424,21
425,9
426,13
427,4
428,4
429,12
430,6
431,2
432,1
433,5
434,17
435,2
436,4
437,4
438,3
439,6
440,6
441,3
442,1
443,1
444,1
445,3
446,17
447,3
448,1
449,3
450,6
451,1
452,3
453,9
454,3
455,1
456,6
457,1
458,2
459,1
460,3
461,9
462,8
463,16
464,9
465,3
466,1
467,6
468,1
469,4
470,3
471,5
472,4
473,6
474,10
475,16
476,8
477,3
478,1
479,1
480,2
481,1
482,1
483,4
484,8
485,1
486,5
487,2
488,1
489,1
490,5
491,3
492,21
493,1
494,5
495,10
496,1
497,1
498,5
499,2
500,7
501,1
502,7
503,1
504,2
505,1
506,7
507,8
508,7
509,1
510,1
511,2
512,4
513,1
514,9
515,1
516,7
517,18
518,1
519,2
520,3
521,8
522,1
523,1
524,2
525,6
526,1
527,3
528,2
529,7
530,4
531,2
532,2
533,11
534,2
535,1
536,3
537,2
538,4
539,2
540,3
541,2
542,4
543,3
544,1
545,2
546,3
547,1
548,3
549,1
550,5
551,1
552,2
553,10
554,2
555,1
556,4
557,1
558,1
559,1
560,1
561,3
562,1
563,2
564,1
565,1
566,1
567,12
568,2
569,3
570,2
571,3
572,1
573,3
574,1
575,3
576,1
577,9
578,1
579,1
580,3
581,1
582,2
583,3
584,1
585,2
586,1
587,6
588,1
589,8
590,4
591,5
592,1
593,1
594,4
595,5
596,2
597,1
598,2
599,1
600,4
601,1
602,2
603,1
604,5
605,5
606,2
607,8
608,3
609,2
610,1
611,5
612,3
613,3
614,3
615,11
616,1
617,9
618,5
619,2
620,3
621,1
622,1
623,1
624,1
625,1
626,1
627,4
628,4
629,1
630,1
631,1
632,1
633,5
634,1
635,4
636,1
637,3
638,4
639,1
640,1
641,2
642,1
643,2
644,3
645,1
646,10
647,2
648,1
649,1
650,1
651,1
652,1
653,1
654,2
655,2
656,1
657,2
658,2
659,1
660,1
661,4
662,1
663,1
664,1
665,2
666,1
667,1
668,2
669,1
670,3
671,1
672,2
673,1
674,2
675,1
676,2
677,1
678,1
679,4
680,1
681,1
682,2
683,1
684,2
685,1
686,1
687,1
688,1
689,1
690,4
691,1
692,1
693,1
694,1
695,1
696,2
697,1
698,3
699,1
700,2
701,1
702,1
703,2
704,2
705,1
706,1
707,2
708,1
709,3
710,1
711,1
712,2
713,1
714,1
715,2
716,1
717,1
718,1
719,2
720,1
721,2
722,10
723,1
724,2
725,2
726,2
727,1
728,2
729,5
730,1
731,1
732,2
733,1
734,1
735,2
736,4
737,1
738,1
739,1
740,1
741,1
742,1
743,1
744,3
745,3
746,1
747,1
748,2
749,1
750,2
751,2
752,1
753,1
754,1
755,1
756,1
757,3
758,1
759,1
760,1
761,1
762,1
763,1
764,1
765,1
766,1
767,1
768,1
769,1
770,2
771,1
772,1
773,1
774,1
775,1
776,1
777,1
778,1
779,1
780,1
781,1
782,1
783,1
784,1
785,1
786,1
787,1
788,1
