Dimension,Number of Blocks
1,190
2,76
3,48
4,32
5,24
6,19
7,15
8,10
9,15
10,12
11,8
12,8
13,8
14,8
15,5
16,8
17,9
18,5
19,6
20,4
21,6
22,3
23,5
24,4
25,5
26,2
27,3
28,4
29,4
30,2
32,5
33,4
34,2
35,3
36,2
37,2
38,2
39,4
40,2
42,2
43,1
44,1
45,1
46,4
47,3
48,3
50,5
51,3
52,1
53,1
54,1
55,2
56,2
57,2
58,1
61,2
62,1
63,1
67,1
69,2
70,1
71,1
72,1
74,1
77,1
79,1
81,2
82,1
83,2
84,1
85,1
86,2
87,1
88,2
89,1
91,2
92,2
93,1
95,2
97,1
99,2
100,2
102,1
106,1
108,1
113,1
114,1
115,1
118,2
119,1
120,3
121,1
122,3
124,3
127,1
128,1
132,1
134,1
135,1
137,1
144,1
147,2
150,2
153,1
154,1
156,1
158,1
161,1
165,1
167,1
168,1
179,1
186,2
193,2
198,2
199,1
207,1
210,1
212,2
215,1
221,1
244,1
247,1
251,1
252,1
258,1
266,1
267,2
268,1
280,1
291,1
292,1
293,1
295,1
296,1
300,1
304,1
314,1
319,1
320,1
323,1
324,1
333,1
339,2
340,1
345,2
351,1
352,1
353,1
355,1
358,1
359,1
361,1
365,1
366,1
374,1
377,1
379,1
385,1
386,1
401,1
448,1
455,1
468,1
469,1
501,1
509,1
521,1
536,1
549,1
557,1
604,1
635,1
637,1
692,1
706,1
737,1
764,1
772,1
775,1
784,1
785,1
804,1
818,1
831,1
847,1
853,1
874,1
883,1
891,2
946,1
963,1
1077,1
1168,1
1334,1
1338,1
1342,1
1464,1
1473,1
1486,1
1557,1
1823,1
1852,1
2279,1
2327,1
2426,1
2505,1
3079,1
