Block_ID,Number of Records
67,796
120,845
127,389
68,1831
1,1386
21,852
102,1230
61,577
29,295
138,471
78,492
66,862
30,996
56,1133
106,1291
103,427
9,742
20,123
123,496
42,642
81,1227
59,513
4,385
44,670
107,425
121,367
54,796
57,557
84,584
96,576
55,440
36,450
14,286
24,166
10,1146
5,586
90,259
89,535
52,1088
45,454
111,507
15,314
32,365
122,265
137,1201
83,4954
98,397
26,180
119,791
6,489
48,372
76,785
35,276
95,543
60,324
130,250
117,291
37,751
79,214
27,470
23,238
53,346
0,549
64,358
109,557
134,505
69,1791
13,315
46,595
99,452
41,208
3,123
140,359
39,644
18,171
40,97
7,209
50,98
114,180
73,352
2,310
34,737
65,323
25,205
47,216
51,1160
115,172
116,331
75,302
38,407
63,427
108,191
141,447
91,334
132,308
88,182
43,518
31,383
94,296
86,692
113,174
125,166
93,287
104,485
70,618
8,5225
101,2454
22,1152
71,377
58,378
112,280
139,349
100,337
72,317
33,169
124,896
131,473
74,362
87,230
85,533
16,620
118,184
133,245
110,415
77,83
11,1010
17,396
12,1074
49,608
80,428
82,455
126,277
92,269
97,165
129,448
128,159
19,395
28,724
142,130
135,451
62,398
105,227
136,70
