Dimension,Number of Blocks
70,1
83,1
97,1
98,1
123,2
130,1
159,1
165,1
166,2
169,1
171,1
172,1
174,1
180,2
182,1
184,1
191,1
205,1
208,1
209,1
214,1
216,1
227,1
230,1
238,1
245,1
250,1
259,1
265,1
269,1
276,1
277,1
280,1
286,1
287,1
291,1
295,1
296,1
302,1
308,1
310,1
314,1
315,1
317,1
323,1
324,1
331,1
334,1
337,1
346,1
349,1
352,1
358,1
359,1
362,1
365,1
367,1
372,1
377,1
378,1
383,1
385,1
389,1
395,1
396,1
397,1
398,1
407,1
415,1
425,1
427,2
428,1
440,1
447,1
448,1
450,1
451,1
452,1
454,1
455,1
470,1
471,1
473,1
485,1
489,1
492,1
496,1
505,1
507,1
513,1
518,1
533,1
535,1
543,1
549,1
557,2
576,1
577,1
584,1
586,1
595,1
608,1
618,1
620,1
642,1
644,1
670,1
692,1
724,1
737,1
742,1
751,1
785,1
791,1
796,2
845,1
852,1
862,1
896,1
996,1
1010,1
1074,1
1088,1
1133,1
1146,1
1152,1
1160,1
1201,1
1227,1
1230,1
1291,1
1386,1
1791,1
1831,1
2454,1
4954,1
5225,1
